t,x,y,dx/dtime,dy/dtime
18.9,0.020913602265183406,2.162094678797139,2.162094678797139,1.0596609099888963
19.0,0.23712307014489734,2.268060769796029,2.268060769796029,0.8331437909429457
19.1,0.46392914712450023,2.3513751488903236,2.3513751488903236,0.458714892575286
19.2,0.6990666620135326,2.3972466381478523,2.3972466381478523,-0.08620360448511244
19.3,0.9387913258283178,2.388626277699341,2.388626277699341,-0.7970611745958258
19.4,1.177653953598252,2.3089201602397584,2.3089201602397584,-1.6242785791851073
19.5,1.4085459696222278,2.146492302321248,2.146492302321248,-2.4646220589770573
19.6,1.6231951998543526,1.9000300964235421,1.9000300964235421,-3.1762443240977087
19.7,1.8131982094967067,1.5824056640137711,1.5824056640137711,-3.6232232336088943
19.8,1.9714387758980838,1.2200833406528817,1.2200833406528817,-3.7323672769874445
19.9,2.093447109963372,0.8468466129541372,0.8468466129541372,-3.525685252264288
20.0,2.1781317712587858,0.4942780877277084,0.4942780877277084,-3.103484116563009
20.1,2.2275595800315564,0.18392967607140753,0.18392967607140753,-2.5919262623649257
20.2,2.245952547638697,-0.07526295016508505,-0.07526295016508505,-2.0937594658539815
20.3,2.2384262526221885,-0.2846388967504832,-0.2846388967504832,-1.667646691716912
20.4,2.2099623629471403,-0.4514035659221744,-0.4514035659221744,-1.3333516142229804
20.5,2.164822006354923,-0.5847387273444724,-0.5847387273444724,-1.087015702844075
20.6,2.1063481336204757,-0.6934402976288799,-0.6934402976288799,-0.9147741452560836
20.7,2.037004103857588,-0.7849177121544884,-0.7849177121544884,-0.8009997871807772
20.8,1.958512332642139,-0.8650176908725661,-0.8650176908725661,-0.7320164830637028
20.9,1.8720105635548823,-0.9382193391789364,-0.9382193391789364,-0.6971612594736518
21.0,1.7781886296369886,-1.0079354651263015,-1.0079354651263015,-0.6886331698816346
21.1,1.6773950831243585,-1.076798782114465,-1.076798782114465,-0.700924731319352
21.2,1.569715204912912,-1.1468912552464001,-1.1468912552464001,-0.7301874660185416
21.3,1.4550260793882719,-1.2199100018482543,-1.2199100018482543,-0.7736448039590518
21.4,1.3330350792034464,-1.2972744822441595,-1.2972744822441595,-0.829055279482308
21.5,1.2033076309790305,-1.3801800101923902,-1.3801800101923902,-0.8941823274703311
21.6,1.0652896299597914,-1.4695982429394234,-1.4695982429394234,-0.9662078499823048
21.7,0.918329805665849,-1.566219027937654,-1.566219027937654,-1.0410198614237909
21.8,0.7617079028720836,-1.670321014080033,-1.670321014080033,-1.112309177935685
21.9,0.5946758014640803,-1.7815519318736015,-1.7815519318736015,-1.1704383704695198
22.0,0.4165206082767201,-1.8985957689205535,-1.8985957689205535,-1.2011253560894852
22.1,0.22666103138466476,-2.0187083045295022,-2.0187083045295022,-1.1841593888410906
22.2,0.024790200931714523,-2.137124243413611,-2.137124243413611,-1.0926956334458748
