x_0,x,y,dy/dx,state
1,0,1,0.315,"Cooling"
1,1,1.315,0.31027499999999997,"Cooling"
1,2,1.6252749999999998,0.305620875,"Cooling"
1,3,1.9308958749999998,0.301036561875,"Cooling"
1,4,2.2319324368749998,0.296521013446875,"Cooling"
1,5,2.5284534503218747,0.29207319824517186,"Cooling"
1,6,2.8205266485670464,0.2876921002714943,"Cooling"
1,7,3.1082187488385404,0.28337671876742193,"Cooling"
1,8,3.3915954676059625,0.27912606798591055,"Cooling"
1,9,3.670721535591873,0.2749391769661219,"Cooling"
1,10,3.945660712557995,0.27081508931163006,"Cooling"
1,11,4.216475801869625,0.2667528629719556,"Cooling"
1,12,4.4832286648415804,0.2627515700273763,"Cooling"
1,13,4.745980234868957,0.25881029647696563,"Cooling"
1,14,5.004790531345922,0.2549281420298112,"Cooling"
1,15,5.259718673375733,0.251104219899364,"Cooling"
1,16,5.510822893275098,0.24733765660087353,"Cooling"
1,17,5.758160549875971,0.24362759175186044,"Cooling"
1,18,6.001788141627831,0.23997317787558253,"Cooling"
1,19,6.241761319503413,0.23637358020744878,"Cooling"
1,20,6.478134899710862,0.23282797650433704,"Cooling"
1,21,6.710962876215199,0.229335556856772,"Cooling"
1,22,6.9402984330719715,0.22589552350392042,"Cooling"
1,23,7.166193956575892,0.22250709065136162,"Cooling"
1,24,7.388701047227253,0.21916948429159117,"Cooling"
1,25,7.607870531518844,0.2158819420272173,"Cooling"
1,26,7.823752473546062,0.21264371289680906,"Cooling"
1,27,8.036396186442872,0.2094540572033569,"Cooling"
1,28,8.24585024364623,0.20631224634530657,"Cooling"
1,29,8.452162489991537,0.20321756265012694,"Cooling"
1,30,8.655380052641664,0.20016929921037502,"Cooling"
1,31,8.855549351852039,0.19716675972221942,"Cooling"
1,32,9.052716111574258,0.19420925832638614,"Cooling"
1,33,9.246925369900644,0.19129611945149033,"Cooling"
1,34,9.438221489352134,0.188426677659718,"Cooling"
1,35,9.626648167011853,0.1856002774948222,"Cooling"
1,36,9.812248444506675,0.18281627333239986,"Cooling"
1,37,9.995064717839075,0.18007402923241386,"Cooling"
1,38,10.175138747071488,0.17737291879392766,"Cooling"
1,39,10.352511665865416,0.17471232501201875,"Cooling"
1,40,10.527223990877435,0.17209164013683848,"Cooling"
1,41,10.699315631014272,0.1695102655347859,"Cooling"
1,42,10.868825896549058,0.16696761155176412,"Cooling"
1,43,11.035793508100822,0.16446309737848766,"Cooling"
1,44,11.200256605479309,0.16199615091781036,"Cooling"
1,45,11.362252756397119,0.15956620865404322,"Cooling"
1,46,11.521818965051162,0.15717271552423256,"Cooling"
1,47,11.678991680575395,0.15481512479136908,"Cooling"
1,48,11.833806805366764,0.15249289791949852,"Cooling"
1,49,11.986299703286264,0.15020550445070605,"Cooling"
1,50,12.13650520773697,0.14795242188394545,"Cooling"
1,51,12.284457629620915,0.14573313555568626,"Cooling"
1,52,12.4301907651766,0.143547138522351,"Cooling"
1,53,12.573737903698952,0.14139393144451573,"Cooling"
1,54,12.715131835143467,0.13927302247284798,"Cooling"
1,55,12.854404857616315,0.13718392713575528,"Cooling"
1,56,12.99158878475207,0.13512616822871895,"Cooling"
1,57,13.12671495298079,0.13309927570528815,"Cooling"
1,58,13.259814228686077,0.13110278656970883,"Cooling"
1,59,13.390917015255786,0.1291362447711632,"Cooling"
1,60,13.520053260026948,0.12719920109959576,"Cooling"
1,61,13.647252461126545,0.12529121308310182,"Cooling"
1,62,13.772543674209647,0.12341184488685529,"Cooling"
1,63,13.895955519096502,0.12156066721355246,"Cooling"
1,64,14.017516186310054,0.11973725720534918,"Cooling"
1,65,14.137253443515403,0.11794119834726895,"Cooling"
1,66,14.255194641862673,0.11617208037205991,"Cooling"
1,67,14.371366722234733,0.114429499166479,"Cooling"
1,68,14.48579622140121,0.11271305667898184,"Cooling"
1,69,14.598509278080193,0.11102236082879709,"Cooling"
1,70,14.70953163890899,0.10935702541636515,"Cooling"
1,71,14.818888664325355,0.10771667003511967,"Cooling"
1,72,14.926605334360474,0.10610091998459288,"Cooling"
1,73,15.032706254345067,0.10450940618482399,"Cooling"
1,74,15.137215660529892,0.10294176509205162,"Cooling"
1,75,15.240157425621943,0.10139763861567085,"Cooling"
1,76,15.341555064237614,0.09987667403643578,"Cooling"
1,77,15.44143173827405,0.09837852392588925,"Cooling"
1,78,15.53981026219994,0.0969028460670009,"Cooling"
1,79,15.63671310826694,0.09544930337599589,"Cooling"
1,80,15.732162411642937,0.09401756382535593,"Cooling"
1,81,15.826179975468293,0.09260730036797561,"Cooling"
1,82,15.918787275836268,0.09121819086245599,"Cooling"
1,83,16.010005466698722,0.08984991799951916,"Cooling"
1,84,16.09985538469824,0.08850216922952638,"Cooling"
1,85,16.188357553927766,0.08717463669108351,"Cooling"
1,86,16.27553219061885,0.08586701714071723,"Cooling"
1,87,16.36139920775957,0.08457901188360648,"Cooling"
1,88,16.445978219643173,0.0833103267053524,"Cooling"
1,89,16.529288546348525,0.08206067180477213,"Cooling"
1,90,16.611349218153297,0.08082976172770054,"Cooling"
1,91,16.692178979880996,0.07961731530178505,"Cooling"
1,92,16.77179629518278,0.07842305557225827,"Cooling"
1,93,16.85021935075504,0.0772467097386744,"Cooling"
1,94,16.927466060493714,0.07608800909259429,"Cooling"
1,95,17.003554069586308,0.07494668895620538,"Cooling"
1,96,17.078500758542514,0.07382248862186229,"Cooling"
1,97,17.152323247164375,0.07271515129253436,"Cooling"
1,98,17.22503839845691,0.07162442402314635,"Cooling"
1,99,17.296662822480055,0.07055005766279918,"Cooling"
