time,x,dxdtime
1.0,2.039148340241008661711912669078045574029247651334143727516343538320630120229588330317145013264303849344313027845657744873196662829726860299433375139915266859880645789945448245443775046108028370588258927416714753178100812025678403467731941590435787992438650216978150112330951450920090316316228766154524223182036205735564765186294923614264472075759599835925204481456148340753326537378320091996503605101707963729174052355687831461286722491074307159738021887123702365439533877257961081259671326791358094773906584720812175843518362247451559526290352099082128567065213920868700993531002380531914647360469325632974349427120012012704266843950281361589658943620533824206822591202433887617515748048783796893803847738403310426198785904052258322441387655377203226525638185906847104469888780258192956515450675865629211483929400864578328230011549730346582668149570090293973213524231582770699426554777394462481257388510832034915639563616931039928013492321187164772627862865861386492306868890692142722456147155840426,1.213777111837040999725818354896882429241409680749442576931318396754303687470680377252477944935443503490420678679714943971632281540732208839451611457974683962494319789243304529299765475524194951876698016556239789214631547538343179404671934144454485174971962347792554832862064679065286491544321442333721602866264521618811318726224797012820748690803896014743951316480427210167397524170717548352363729570757635528049449869467123541962755976782233258946488487993090776543119126887929803878522985778454939966548066294080523212554648718384362774999293658049751297473921405867369010984958918198662913845824484867094055596046528365257453508744569250486520381593538541068743809744353144709596202269565544719407563590231262910371769631309153639750617693878976868379370179186317306225492492520663579970472950772647229932432655752141246805315357277585006028384313043250950774111027069091831522083145440656360753157480310201231545524053948169794974317588907324867274354152320547538414593376273357183709159115763000
1.1,2.160526051424712768422310986190266586998454832674285033616047593277404157097997389548190135523546929858044379416465567444198892580684027402598685443938303384272288035591368585249082521996287392851504998250647084306904595606370881361580143584596982845316735419285702163571753081948779232048795851357423558873278197440462124579819918089357871368324742707389891785801157376662970440976972632984684374623682328482477002250778475361906974350098417447654415677255608959955273079122648215492444461129659456442469959814181969713714071747988850485508152362883633146911128168847041599935488506701531034049944191825821784417545293684260793273690753759119118710144588051807799650825215324417989807297660280159636879371104246169055725189301368963103005981649187922296555481495438826970873492953586362770425498954304434987836338834439336192046053336219139821848930410269637344733986460391056660254299410554942253773687997380810780060332942819831717987270052982669123436730827278001079355809572709250196440742979317,1.291975900768073081674579952069621526139576446858602721444431142525478049886031181989388739014678814988358057389963735776066609104194476294136816458572759470724835671707217904518177812616244483309425293724087798548246467748552436548736637193101910687066324644505267278366864248421463992488355028106828316985812432338227530014167105005498810390181981128907887884049301275553693381520585509285941769128319069222659888734404196328808101304936061360367145515109147345463943157067108853423625831992259830448044760422125282193614601850420941289674074895491686668567648873052466051187135634461068986170057081475197571745568830371038044328720134633143946332007165021817631894475814578482803767213718853965949691957474024732680228395734719750097584850470611807824149406319443166315750301270357483296487063542244350159222880039730732468123042545477891845791762981426389973868913329686110552280424454578918574370249932938081187102576294257874129245346074375066261264198877692045802048461903716921605773246266815
1.2,2.289723641501520083761675942864934758735537249854380375067060542012989843090082294467839486803758763523879366778075092977841931500597821340754436420031405295641876934201617655696359076651946079396725007907755944007453082148227167973029857154124313021426948956288611444397257530396188008387252451801793434577821915547425915692152065522851286606696354500352161182252990369666652371147858497567314231119599015024680918101471530861287074823061533506110117291886508489331417919449748582501495863707398056716022685145143595218813144639595682120399870844371828083827229951629889378539766998661640453238627481663708884929097416605497376377989080782988914097461192589345272813252589913262476283055063124709173632505906724411486509260420455845803799709898185703420170459065143096640663579852859611824929520403433750097526942203113892529022837772320761534474697849280613196494393621981921757222807300967470244436571456991015700648176431176944516949231611788366431616323086099692288789944012180046981327364744599,1.387547845451028264463453429331041125466627745802641611342123660783279688119306868616379593540379610216886586721888956706263115512398607099506813947192516334535933025446977313760148131879471007347716281396305851457755294219082891482634521357677019719458200384020975457049773653678826871901036588368970908460539194323880694589506217425639693562868293386301233960906466082601623239777626300631829968904657936654153381123742494582980600321010789308310339750167447387441744030392824612270247207627306605438577477233356434922602662900806578815378401944869868666203107037675106107405994071472616228797402011522814018671311847036083403448917987616603134577529497641526274559055660259498887607128687525188458270240728794707734057632037326165682811293511451370003496479852554018923288749014414904685012631448256182664511543801816312220272607568088790781338380221178370399499506882152176674231462288500117369302097408010835593931479238038695949445395422611374740207503000255409044596768251555473053786125924081
1.3,2.428478426046622917910459114741838143364778931302140149391338124863655438929666946920045810272999742963942093096387882613242823096639429887846729569150857499835967806548569253316614474449570936543691162358702159891615702874865424109507806188331954584161493003814674106722184607087990195936990202678157870588406424303933490477469674694695390185504484139304271303572406933986785447277310374861929405029028048767416614785045549358166081176891286451261967626998383755896085961176954106495991591891792305649391487830360477925697712884715432487396878368759606490192715467633720562153388387456403783098453769048831105292487815112606729648392045241624915082706467125575728687426140203902919179978387456924860310112505727253846462455750205515161591603400313740836192376381519334641301567334984416242805058215634289935387145655029048780917859230927460447502554558701906482575773391624352634275081884945499518331784420785648992486538672563150061509923791451437114516437857021926312231050620764049639022333964744,1.502381319288143935171508904966737075148293521609302804731924102418153651920598599563908608258166093093048491992466369035381689944427805629737572714826483088482496898434802505837790588553679004266204980468372925589509529935493862214672990685775913205302385756125073896492570488352649353055399890453374242217695686963537317115296119758626306776806653564204338031944700164476254793287176327118044356504284792545000795825555264069826172875943076514085316609629843974980170301126989553458775672009512620505756044565068263982119815441299604599998351236129548531722801866913048363584144160091542213356256881398439395858437214509773544760264634433546395948971003716806328563166628802177970265993361677800992478068405852223136750857538648368865167218974553219623427976656049984608693379459076220756552326660849820308270212091301445089334031905320732232175092861186804564294411616645457537175989338597482698350171538385012335183881671333249649500855607904187915497438871219527936551366342269082563201231651493
1.4,2.578716557975437319767501667440592825962809308700210416789278236181896618036577080511039432609889548826939753813356797592221081977611765033258193121250066557257173308913434494979330623556918460769753650887518202057011925452573960350792268711347405412847641182904040086161417607318816538288097541787466535443662299256394369015470391318291994373178991520727384352541436220613060776479415755131534045919644375011104722393213487956966876570809905251294188858947388301414885017165993626927624472877151347546673224771350316601885908056808179948642214150567873425910394301482337030444054791468895108595430258931512010270927682329027721514482746929901449239663242033017450314139788591971503790908659678760410825401812837742090050978993645037431799511004116305128502985475213061896898255660814767362370178179756629519586776577529517560550570440018243887459068324837915886294609384748054310843102305294115167749599034579433087349451944531822595058598911223480317741916675004882305470050605163310011934970291796,1.638448344119581244357721543575701783289039229506157751697861525324554195807927664928997500352328991400076457718634450600229420932173955022963165146371528055736883280690951659948218093233989954552946306466852244686717542823271848592286613240569069250358066748265787033493868267582606389125045227258488252417832502677819855663995091622987815459350073813229297237108523781035122782262176548149237207934143209632684842672502284867042209382137574260119313164308723169006715588344999645887602375963152580374354932028572664454414571983262148913189006742185966662841692821057917374404436322832719820957870415474375855039463921215972964930478027839417020549832891496860834876892389690733255041997346083339189282895890926280614017690376703976759542524275679711073151399513530037129974918005213437960980480538885759837869442764436345499065674069499112015524753358830409942794075467976515331259783143260944665346488360159848799419535762524147959099950133702601438511125404887088613016166267451752775448045703938
1.5,2.742561392387395453298489203300767030277402791301584761296163521294244204888441167018637295466070603538243591310764550490504749437262143256017278014731012561499900130166976606895177388502518336371637163370203780528498964743512117220252922155580696448461593042125796993639826306102312103761902548032940659780454020322395925543956981402699346931871957248144788950041336180919218075640871034301480779881403799721782991849963179257165169644936649759092290793956186758081217806400862128084227970777731545656760175239651004989385265389708663822176986924271096654971058003003517553870512682473762819545200469986950395593024544008333527786955766448387080628413906135677353380494984130301701577291472129167273517561421167038177188262356664256848154405479714169349657355170531003007641240789163810162180329294501203235890876899167335554378940294899076670663330447131519835108355700456234087363841791481390678467840536431157518333146213088779858227380358709009926865320940629999027963187078181268096164973956498,1.797817574826408583427141113973665817334746150180686395492514972012307402497346235607093249139231669739920591613642576798018736965415586430876170606291211061145670654545402383844225349373630661195039356468241361082235940766598265710081893964030747428161021464598501814992913357417856149399265598752251809185198978436327798779338750209041013710950331333314449586165842366501416280325825476476709224465084388919716441373280087778577779288450082364245112523624575479203257613958407572399751136071836932213384002803673236849160277509939119278052024746415614104287022381106629660011031613226618004324782991990662173280795565046932338043645491646313260122980765599038367658446583191729535944590145912506926524885404063792239602203347717476699885254354257323430412580547138441606246443862900270733079332893492268531022609036821297190806042009659950769134388170503992687471904073425964503713482211009150751474375580153367786461294916654937596116841053679252381786675561417186549164758192736331783228237548253
1.6,2.922343149870036321621095642938328751727467606414100568849512878449470728385308268991765555352911229732374537278544108215757387919433055847102255768602865971557924691959576938133076050498193308007922821273445753600645490769168758214463610722192049037260797494216806743622316319282347315045592241672948184432462101435747408523043937739468420388831772901163742602321852127432592537485163738780884569393474594741334096089965639949109705844942849490129283815951785156336242500422043553587714807233548308703435259241596264883347508837558999372335513708327466689541177447155807651840014694936123766134468420197093084346208206777630766778853030689191036025796447856270583966281079779921918017654259750880212969161242169184630104806993559720734849921802700840777316221301385359833455507347446913008945855058853942239644717270958988164879865711588621775530961083449927266892944882818116480634584535280328554511901541028854844455715765849509942819076333794066533222403180390457492772821592936667288293745305909,1.982656031709418023562514983403861330808968114961436468026095482647239996048303209431954634110540638776253019198491703886382327151855786874218792525775492694435474488390240993933354992021596702043359211637985296282002716290686306207603789230973884967635884713603779141534044855709646358733494189431771955512824667747218626521188177677685160689657226722086931597918807034823964780394395812498877908088704533264196209149103837549571339239896578885759530793285319273169726872174137832970871650431645460454812549855879118345431759912446967814110648115410207746066728009965392749598549465704785849815558616804658251884444839144661479390655424146622355714602524290689494904312883375820990542403265120162408302248168678806725576187231062464522516462666362594034062108459264658130778537019979282055641536096879376465664441293021989070037215186931636498160834534008842038826745413928313742816924017173338328216741396508961351429541247137212766649684974056669365988383605144834400328239197800699617463888622074
1.7,3.120608753040978134983299022857416649974287302446805064158237916253422797617132815480152238449619883808812281215947596802359552406482544117757095829720155536114760088499424627948006962271246113326644694835001246020338800965192444281400605789806895905111419213013960573659058298158279206710839399029203906479115643975475298815546743944718427715939324031462523077289301625376567030016551643158633438145878525169664917399702692762991052871044648903181684546243328897380119070606321000367266481435410023609511278308987311136940145396506556409202043965924437949478205626619527509805905073850645094865456203178199144327611877445001424241255219711178086207149683374853405601442114470932156855969218063660711384760815447602060575059319055811474264187338189129347630204710914577882889771554373446539449875251627270700742285675701555435262856514600686759639069071770921173487232688541029722268602600710858249830705293987120070071908775166252053677894534936915750746568845774402874557572466824182840566422703913,2.195215780491100965826798991670805321239304824159569271925297748393810638240283202727755886395162137440399076936934000698383878726798505341773174095602751739670806510605606791221964127090177634391654018062936516264143418522165910442563565771679766272388447746095029114341791136804089908618782091604784821974499881072223323814964554084795857498878084491383451570559044090896636066416911377108152427300261342647272497055580317722160589589903317896096545518882243117158109805714931234459568046282009626702119760103272419815904059884652635175267437018432443223606814242856028047327411802197700728717234451335650424570548930466555032342149952592603513694679008352213524787024160569783934317713965124631746386779832343550696856673150617214984760032887906873163065361095331026740492657921039623690062189761478726202438798573376905583788760953518722136990242910744454898681030751767746034028720297726990447926660522513379089002370550136082670907060068359553525292758567364976144923999385185559690575711694167
1.8,3.340130331090088243751874439633016293021860486205708679694532452610007071088146478103365070920893895836195510326580058360020261057225155358484189223447588058791550378453967058747459676092119579922072278882979843571795325935071079205034907444909694451300255167714406519859640198417237377235080224162530060222497243645676178136349029231480406934799177599125826013350522025291081930802702964550105100872058981595880233762610344090438285967169932089949092880568658881463865894082716107654659148556625674545436885684829103550079453301852486155855126877558519038380625553930020240384100733551093852933194192877347439335968873762306609987836369603254379438074053244280419367645598197966142489280491281575225155763100380506861308430606101745345225265001970243516852982304622972960593243939405390689386951047939551226758272385003689626176154130887454138897784648144616032512866798910774388640820852463728879902535370717397754795420582318713631516249548357910907555225153232868006623061081400941298895832699728,2.437803818621426892506063879426403393066397626106214525993075503017311043466022852184407097189228410303555181783496807482823756746640571689445948545228751778900040643009812952832867950682460008922370608660541223274774905467539094260947189159803330952894717141208326307796818515001608157475241402135577823939866630087164589403402492551725455739089299089837653680082223871688159148522791628113851732086484327629885739090734822398866358762415239117047874834098006584368410619610585007874687369534739034947546392904731558387349919379575670544751068578233929055625948382616489851721773430371776120403973162911442502267711540216044267287432571832371296845593419311445148837583651061242231500707898842652520473140518248805657879125263391135255565081107868634893241331932494416285733061575057708878009557136988099873521425401041714341110248770741597909477377073985586499057928136415702381292396313270140487240300592725445869057639997617391160662180150702289933882385368103734474679942262653821870055473689168
1.9,3.583910712952230946535010472338842018697974662300142252336419933036611919242646621300495315214844524257445564302335203200655891064161959150405666017655340421041270034636148517513085026624450424823573929000107667038492538363255509451090195748059764384302385786373798512428702187660854736573588012769111137243827007911646890964488989890861329580022916665704927940253977537102150532809345980545998836284730134112938034257509848864987788139844806039387063301912161562659175842431361770545605428287224242096930656336392553856036478536101794206960589752840611150761574681596812521577174917027966282731597906679531511808261956992336576007704467444069370943862364807357176350571166831651113592456156413540253171178700071786000441416320135677287470027301714355084645153596552135011753052947839166191100074442659158907921807312083949422111386564753925771111889637929070422319781604893529351442692630857986659959719814379339533160002667707188336835734217444318665119412850220466925517406163950330496755668227784,2.712737400262118091034858856183136301562773044106049475818909302319101639366857791722557631172016329156601732822827384541125319596341457704714723243876938884073345761833447688507669878775090078864563865004686433197282691483079368241571793314564383499714586924165454046604343761580659817230863357239110597360998698349660252980296153504755899131870973290613980228234633038060376361880392469361502950354965155281234780551212146262037261104867332662963671810271204068760013755832897995841488051937960359792136792913132798238350372223870309214735906107295333579392616050046631203006126174058848960300424404559521500476741441199153496029591633394913064618629307499523088989827688719282664311642007839222899986316097675623721115148799742892025963202789477658348350410991455235001089224838156348066226125559293874240572755582033419649171932377594442206619567023901489941018883573368495885371159915647411269357014935035791430218980583435741274207975150139386614258177306084742940438976129460593383421627005928
