time,x,y
22.1,-1.473866756,-1.719284691
22.2,-1.632700054,-1.451374731
22.3,-1.76330113,-1.158262957
22.4,-1.864220661,-0.8610572037
22.5,-1.935963166,-0.5771595185
22.6,-1.98048463,-0.3180162631
22.7,-2.000576441,-0.08901392193
22.8,-1.999315273,0.1092541991
22.9,-1.979668499,0.2792863836
23,-1.944263697,0.4251630033
23.1,-1.895287798,0.5514775336
23.2,-1.834470668,0.6627031374
23.3,-1.763114635,0.7628869589
23.4,-1.682143341,0.8555514787
23.5,-1.592154174,0.9437069067
23.6,-1.493466495,1.029912177
23.7,-1.386163797,1.116342565
23.8,-1.270128593,1.204842092
23.9,-1.145074994,1.296940999
24,-1.010580397,1.393828738
24.1,-0.8661238327,1.496254325
24.2,-0.7111395353,1.604349051
24.3,-0.5450897694,1.717333698
24.4,-0.3675776893,1.833103708
24.5,-0.1785050221,1.94771049
24.6,0.02171673689,2.054800492
24.7,0.2319022435,2.145210894
24.8,0.4498085607,2.207041105
24.9,0.6719020882,2.226631806
25,0.8932828393,2.190788587
25.1,1.107890232,2.090108245
25.2,1.309061757,1.922470473
25.3,1.490383159,1.695096201
25.4,1.646611316,1.423800596
25.5,1.774373122,1.129398125
25.6,1.872422497,0.8328000299
25.7,1.941429873,0.5508944003
25.8,1.983459101,0.2945164895
25.9,2.001351105,0.06852066096
26,1.998186499,-0.1268736294
26.1,1.97690761,-0.2943773977
26.2,1.940102152,-0.4381601941
26.3,1.889912609,-0.5628253839
26.4,1.828025775,-0.6728142219
26.5,1.755705116,-0.7721251662
26.6,1.673840425,-0.8642292229
26.7,1.583000153,-0.9520903993
26.8,1.483479366,-1.038227542
26.9,1.375340381,-1.124781865
27,1.258448114,-1.213566314
27.1,1.132502106,-1.306082902
27.2,0.9970684907,-1.403480327
27.3,0.8516194702,-1.506460489
27.4,0.6955873099,-1.615079476
27.5,0.528443569,-1.728449454
27.6,0.3498123411,-1.844314431
27.7,0.1596334005,-1.95851513
27.8,-0.04161832862,-2.064440353
27.9,-0.2526671399,-2.152648983
28,-0.4711546937,-2.211006233
28.1,-0.6934149953,-2.225783369
28.2,-0.9144213114,-2.183993856
28.3,-1.128024895,-2.07679468
28.4,-1.32754679,-1.902915382
28.5,-1.506646857,-1.670491467
28.6,-1.660238108,-1.396013931
28.7,-1.785149841,-1.100524153
28.8,-1.880336868,-0.8046967386
28.9,-1.946630219,-0.5248858063
29,-1.986195478,-0.2713181378
29.1,-2.001918082,-0.04832919069
29.2,-1.996879063,0.1442185827
29.3,-1.973993506,0.3092350284
29.4,-1.935808495,0.4509687068
29.5,-1.884422011,0.5740274685
29.6,-1.821478087,0.6828180614
29.7,-1.748201775,0.7812893451
29.8,-1.665449607,0.8728616933
29.9,-1.573761694,0.9604526653
30,-1.473408678,1.046541948
30.1,-1.364432654,1.133237482
30.2,-1.246681089,1.222322807
30.3,-1.119839098,1.315265829
30.4,-0.9834617918,1.413181268
30.5,-0.8370146819,1.516715609
30.6,-0.6799308736,1.625850384
30.7,-0.5116898742,1.739586941
30.8,-0.3319383163,1.855507257
30.9,-0.1406583645,1.969240289
31,0.061610617,2.073911784
31.1,0.2735009097,2.159802152
31.2,0.4925352131,2.214559189
31.3,0.7149145663,2.224399835
31.4,0.9354880977,2.176578994
31.5,1.148024434,2.062848612
31.6,1.345836518,1.882806402
31.7,1.522667232,1.645490915
31.8,1.673592,1.368033347
31.9,1.795644232,1.071653077
32,1.887977278,0.7767505673
32.1,1.951577589,0.4991301462
32.2,1.988706606,0.2484118251
32.3,2.002289179,0.02842686824
32.4,1.995403337,-0.1613029402
32.5,1.970935218,-0.3238726311
32.6,1.931390465,-0.4636009513
32.7,1.878822544,-0.5850948776
32.8,1.814833096,-0.6927243574
32.9,1.740609278,-0.7903882497
33,1.656974792,-0.8814559336
33.1,1.564441682,-0.968799998
33.2,1.463257103,-1.054861395
33.3,1.353442634,-1.141714995
33.4,1.234828718,-1.231112949
33.5,1.107086416,-1.324495578
33.6,0.969760746,-1.422933087
33.7,0.8223107587,-1.527023629
33.8,0.664169862,-1.636665056
33.9,0.4948284177,-1.750744905
34,0.3139568482,-1.866680952
34.1,0.1215801336,-1.979882292
34.2,-0.08169362933,-2.083209922
34.3,-0.2944020548,-2.166666899
34.4,-0.5139475482,-2.217691538
34.5,-0.7363977345,-2.222473637
34.6,-0.9564798352,-2.168542051
34.7,-1.167885797,-2.048275447
34.8,-1.363928935,-1.862155587
34.9,-1.538443732,-1.62011206
35,-1.686674112,-1.33987653
35.1,-1.805859238,-1.042799559
35.2,-1.895348067,-0.7489711303
35.3,-1.956277003,-0.4736303599
35.4,-1.990997452,-0.2257961557
35.5,-2.002469006,-0.008809481599
35.6,-1.993763515,0.178132367
35.7,-1.967736302,0.3382964647
35.8,-1.92685101,0.4760628264
35.9,-1.873116618,0.5960329193
36,-1.808092721,0.7025377599
36.1,-1.73292903,0.7994255852
36.2,-1.648417005,0.8900156793
36.3,-1.555041123,0.9771354524
36.4,-1.453024983,1.063188244
36.5,-1.342370627,1.150216157
36.6,-1.222891196,1.23994201
36.7,-1.09424499,1.333772212
36.8,-0.955965218,1.432739795
36.9,-0.8075070001,1.537382898
37,-0.6483043613,1.647522592
37.1,-0.4778586764,1.761921579
37.2,-0.295867309,1.877830265
37.3,-0.102400144,1.990433908
37.4,0.1018656162,2.092323326
37.5,0.3153682894,2.173229841
37.6,0.535388025,2.220392007
37.7,0.7578594742,2.21999606
37.8,0.977390631,2.159879513
37.9,1.187602967,2.033079678
38,1.381818851,1.840975659
38.1,1.55397295,1.594373116
38.2,1.699483161,1.311563698
38.3,1.815795367,1.013980812
38.4,1.902450979,0.7213695567
38.5,1.960730891,0.4483921633
38.6,1.99307094,0.2034719766
38.7,2.002460476,-0.01052538498
38.8,1.991962103,-0.1947109128
38.9,1.964398864,-0.352510891
39,1.922191802,-0.4883586483
39.1,1.867305471,-0.6068455237
39.2,1.801257833,-0.7122617399
39.3,1.725161654,-0.8084044601
39.4,1.639776492,-0.898543115
39.5,1.545559892,-0.9854613297
39.6,1.442712385,-1.071524305
39.7,1.331216006,-1.158742679
39.8,1.210868538,-1.248809516
39.9,1.081313044,-1.343097044
40,0.9420747235,-1.442598774
40.1,0.7926026468,-1.547795614
40.2,0.6323333425,-1.65841999
40.3,0.4607813727,-1.773113824
40.4,0.2776702512,-1.888951458
40.5,0.08311774996,-2.000888027
40.6,-0.1221246174,-2.101244054
40.7,-0.3363960258,-2.179478105
40.8,-0.5568524026,-2.222645443
